Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
,Couple Leisure,Economy Class,Sydney to Heathrow,March 2022,3.0,1.0,1.0,1.0,2.0,,4,no
A320,Business,Business Class,London to Malaga,March 2022,2.0,1.0,2.0,1.0,1.0,,1,no
,Couple Leisure,Economy Class,Austin to London via Dublin,March 2022,2.0,1.0,2.0,,1.0,,1,no
Boeing 777-200,Couple Leisure,Business Class,Cape Town to London,March 2022,2.0,1.0,1.0,2.0,3.0,,2,no
,Couple Leisure,Economy Class,London Heathrow to Funchal,March 2022,3.0,3.0,1.0,,1.0,,3,no
,Couple Leisure,Economy Class,Gatwick to Antalya,March 2022,,,,,,,1,no
Boeing 787-9,Couple Leisure,Economy Class,London to Austin,March 2022,4.0,1.0,1.0,1.0,1.0,,3,no
,Couple Leisure,Premium Economy,Dubai to Heathrow,March 2022,3.0,2.0,1.0,3.0,4.0,,2,no
Boeing 787-900,Solo Leisure,First Class,Singapore to London,March 2022,5.0,1.0,1.0,4.0,2.0,,2,no
A350,Family Leisure,Economy Class,Dublin to Dubai via London,March 2022,3.0,4.0,3.0,1.0,3.0,,3,no
,Couple Leisure,Economy Class,London Heathrow to Cairo,February 2022,1.0,3.0,1.0,,1.0,,1,no
,Couple Leisure,Premium Economy,Male to London,March 2022,4.0,2.0,2.0,3.0,4.0,,3,no
,Business,Economy Class,Copenhagen to London,March 2022,2.0,2.0,1.0,,1.0,,1,no
,Family Leisure,Premium Economy,New York to London,March 2022,1.0,3.0,3.0,3.0,1.0,,1,no
A321-neo,Business,Business Class,London Heathrow to Sofia,August 2021,3.0,5.0,2.0,,1.0,1.0,2,no
,Family Leisure,Economy Class,Athens to Boston via London,October 2021,2.0,3.0,2.0,,1.0,,1,no
Boeing 777,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,February 2022,3.0,3.0,2.0,3.0,2.0,,3,yes
,Business,Business Class,Bangalore to London,March 2022,3.0,4.0,1.0,1.0,2.0,2.0,1,no
Boeing 777-200,Couple Leisure,Business Class,London to Cape Town,March 2022,3.0,3.0,2.0,1.0,3.0,,3,no
A320,Couple Leisure,Business Class,Lisbon to London,February 2022,1.0,3.0,1.0,,3.0,,1,no
A350,Solo Leisure,Premium Economy,Vancouver to London,February 2022,4.0,5.0,5.0,5.0,4.0,4.0,5,yes
A320,Business,Business Class,London to Malaga,February 2022,3.0,3.0,2.0,,3.0,3.0,2,no
A322,Business,Economy Class,London to Athens,February 2022,2.0,3.0,1.0,,1.0,,1,no
,Solo Leisure,Economy Class,London to Edinburgh,February 2022,,,,,1.0,,1,no
Boeing 787-9,Family Leisure,Business Class,Washington to London,February 2022,4.0,5.0,4.0,4.0,5.0,4.0,4,yes
,Couple Leisure,Economy Class,Accra to London ,January 2022,1.0,2.0,1.0,1.0,1.0,1.0,1,no
A320,Business,Business Class,Dublin to London,February 2022,,,,,,,1,no
Boeing 787-9,Family Leisure,Business Class,London to Washington,February 2022,4.0,5.0,5.0,4.0,5.0,5.0,4,yes
,Family Leisure,Business Class,London to Porto,February 2022,,,,,,,1,no
